,filename,sentence,is correct sentence,length sentence,total sentences,sentence num,does time appear,ratio in file,first עו*תרה*(ים)*(ות)*,first עו*תרה*(ים)*(ות)* ratio,last עו*תרה*(ים)*(ות)*,last עו*תרה*(ים)*(ות)* ratio,did עו*תרה*(ים)*(ות)* appear,עו*תרה*(ים)*(ות)* count,first ה*תובעת*,first ה*תובעת* ratio,last ה*תובעת*,last ה*תובעת* ratio,did ה*תובעת* appear,ה*תובעת* count,first ביקשה*,first ביקשה* ratio,last ביקשה*,last ביקשה* ratio,did ביקשה* appear,ביקשה* count,first ה*תביעה,first ה*תביעה ratio,last ה*תביעה,last ה*תביעה ratio,did ה*תביעה appear,ה*תביעה count,first מבחן,first מבחן ratio,last מבחן,last מבחן ratio,did מבחן appear,מבחן count,first צבאי,first צבאי ratio,last צבאי,last צבאי ratio,did צבאי appear,צבאי count,first בי*טחון,first בי*טחון ratio,last בי*טחון,last בי*טחון ratio,did בי*טחון appear,בי*טחון count,first קבע,first קבע ratio,last קבע,last קבע ratio,did קבע appear,קבע count,first דורשת*,first דורשת* ratio,last דורשת*,last דורשת* ratio,did דורשת* appear,דורשת* count,first בימים,first בימים ratio,last בימים,last בימים ratio,did בימים appear,בימים count,first בין,first בין ratio,last בין,last בין ratio,did בין appear,בין count,first מתחם,first מתחם ratio,last מתחם,last מתחם ratio,did מתחם appear,מתחם count,first יפחת,first יפחת ratio,last יפחת,last יפחת ratio,did יפחת appear,יפחת count,first יעלה,first יעלה ratio,last יעלה,last יעלה ratio,did יעלה appear,יעלה count,first נגזר,first נגזר ratio,last נגזר,last נגזר ratio,did נגזר appear,נגזר count,first נדון,first נדון ratio,last נדון,last נדון ratio,did נדון appear,נדון count,first ה*צדדים,first ה*צדדים ratio,last ה*צדדים,last ה*צדדים ratio,did ה*צדדים appear,ה*צדדים count,"first ""","first "" ratio","last ""","last "" ratio","did "" appear",""" count",first /,first / ratio,last /,last / ratio,did / appear,/ count,first \\,first \\ ratio,last \\,last \\ ratio,did \\ appear,\\ count,first :,first : ratio,last :,last : ratio,did : appear,: count,first גוזרת*(ים)*(ות)*,first גוזרת*(ים)*(ות)* ratio,last גוזרת*(ים)*(ות)*,last גוזרת*(ים)*(ות)* ratio,did גוזרת*(ים)*(ות)* appear,גוזרת*(ים)*(ות)* count,first [נמ]טילה*(ים)*(ות)*,first [נמ]טילה*(ים)*(ות)* ratio,last [נמ]טילה*(ים)*(ות)*,last [נמ]טילה*(ים)*(ות)* ratio,did [נמ]טילה*(ים)*(ות)* appear,[נמ]טילה*(ים)*(ות)* count,first  ד[(נה)(ן)(נים)(נות)],first  ד[(נה)(ן)(נים)(נות)] ratio,last  ד[(נה)(ן)(נים)(נות)],last  ד[(נה)(ן)(נים)(נות)] ratio,did  ד[(נה)(ן)(נים)(נות)] appear,ד[(נה)(ן)(נים)(נות)] count,first משיתה*,first משיתה* ratio,last משיתה*,last משיתה* ratio,did משיתה* appear,משיתה* count,first מחליטה*(ים)*(ות)*,first מחליטה*(ים)*(ות)* ratio,last מחליטה*(ים)*(ות)*,last מחליטה*(ים)*(ות)* ratio,did מחליטה*(ים)*(ות)* appear,מחליטה*(ים)*(ות)* count,first לגזור,first לגזור ratio,last לגזור,last לגזור ratio,did לגזור appear,לגזור count,first להטיל,first להטיל ratio,last להטיל,last להטיל ratio,did להטיל appear,להטיל count,first יי*מצא מתאים,first יי*מצא מתאים ratio,last יי*מצא מתאים,last יי*מצא מתאים ratio,did יי*מצא מתאים appear,יי*מצא מתאים count,first מאסר,first מאסר ratio,last מאסר,last מאסר ratio,did מאסר appear,מאסר count,first עונשין,first עונשין ratio,last עונשין,last עונשין ratio,did עונשין appear,עונשין count,first שירות,first שירות ratio,last שירות,last שירות ratio,did שירות appear,שירות count,first תנאי,first תנאי ratio,last תנאי,last תנאי ratio,did תנאי appear,תנאי count,first יעבור,first יעבור ratio,last יעבור,last יעבור ratio,did יעבור appear,יעבור count,first עבודות,first עבודות ratio,last עבודות,last עבודות ratio,did עבודות appear,עבודות count,first צו,first צו ratio,last צו,last צו ratio,did צו appear,צו count,first קהיל[הת]י?,first קהיל[הת]י? ratio,last קהיל[הת]י?,last קהיל[הת]י? ratio,did קהיל[הת]י? appear,קהיל[הת]י? count,first ציבור,first ציבור ratio,last ציבור,last ציבור ratio,did ציבור appear,ציבור count,first תועלת,first תועלת ratio,last תועלת,last תועלת ratio,did תועלת appear,תועלת count,first נאשם,first נאשם ratio,last נאשם,last נאשם ratio,did נאשם appear,נאשם count,first קנס,first קנס ratio,last קנס,last קנס ratio,did קנס appear,קנס count,first חודש,first חודש ratio,last חודש,last חודש ratio,did חודש appear,חודש count,first שנה,first שנה ratio,last שנה,last שנה ratio,did שנה appear,שנה count,first שנים,first שנים ratio,last שנים,last שנים ratio,did שנים appear,שנים count,first שנות,first שנות ratio,last שנות,last שנות ratio,did שנות appear,שנות count,first שעות,first שעות ratio,last שעות,last שעות ratio,did שעות appear,שעות count,first שנת,first שנת ratio,last שנת,last שנת ratio,did שנת appear,שנת count,first חדש,first חדש ratio,last חדש,last חדש ratio,did חדש appear,חדש count,NN,VB,PREPOSITION,DEF,NNP,NNT,BN,POS,S_PRN,CD,RB,PRP,IN,AT,DTT,yyCM,CONJ,JJ,COP,REL,NCD,yyDOT,gen=M,gen=F,
0,m01001147-13.txt,"    עונש של שנת מאסר בפועל וכן מאסר על תנאי, לו
תעתור התביעה, בעוד הסניגור יכול לטעון כרצונו.",0,0,93,78,17,FALSE,0.2179487179,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,54,0.5806451613,54,0.5806451613,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,16,0.1720430108,31,0.3333333333,1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,39,0.4193548387,39,0.4193548387,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,88,0.9462365591,88,0.9462365591,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,12,0.1290322581,12,0.1290322581,1,1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
0,m01001147-13.txt,"נ
עוד נקבע,
כי הנאשם ישלח אל שירות המבחן, כדי שיוגש תסקיר אודותיו, וכי עם
הפקדת סכום
הפיצוי בקופת בית המשפט, ישוחרר הנאשם ממעצר הבית בו הוא מצוי.",0,0,145,78,18,FALSE,0.2307692308,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,36,0.2482758621,36,0.2482758621,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,7,0.04827586207,7,0.04827586207,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,29,0.2,29,0.2,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,88,0.6068965517,141,0.9724137931,1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,16,0.1103448276,117,0.8068965517,1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,8,3,3,3,0,1,0,4,1,0,1,0,3,0,0,2,1,0,0,0,0,1,5,1.5
0,m01001147-13.txt,"
הסכום שולם
רק לפני כשבוע (בשל קשיים כלכליים של הנאשם); תסקיר של שירות
המבחן אכן
נשלח; אולם הסניגור ראה צורך בחוות דעת נוספת, מאת פסיכולוגית
קלינית,
שתערוך לו (כך סבר בתחילה) מבחנים פסיכו דיאגנוסטיים, וקיבל כזו מאת
הפסיכולוגית
הקלינית הבכירה, ד""ר נעמי כהן, שלא ראתה צורך במבחנים, אך נפגשה עם
הנאשם חמש
פעמים.",0,0,308,78,19,TRUE,0.2435897436,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,72,0.2337662338,72,0.2337662338,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,244,0.7922077922,244,0.7922077922,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,187,0.6071428571,187,0.6071428571,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,65,0.211038961,65,0.211038961,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,104,0.3376623377,266,0.8636363636,1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,49,0.1590909091,293,0.9512987013,1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,14,4,2,6,1,6,1,2,2,0,1,1,5,0,0,4,1,0,0,1,0,1,10,1.5
0,m01001147-13.txt,"     בהגיע המועד לטיעון לעונש, הביעה התובעת
הנכבדה  התנגדות להגשתה של
חווה""ד הפסיכולוגית, שלא הוזכרה בהסדר, ושיש בה ניואנסים חשובים, השונים
מאמירות ותשובות של הנאשם, באותם עניינים, כשרואיין בשירות המבחן.",0,0,203,78,21,FALSE,0.2692307692,-1,-1,-1,-1,-1,0,37,0.1822660099,37,0.1822660099,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,198,0.9753694581,198,0.9753694581,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,74,0.3645320197,74,0.3645320197,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,191,0.9408866995,191,0.9408866995,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,160,0.7881773399,160,0.7881773399,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,25,8,4,10,6,2,0,6,1,1,5,1,6,0,0,6,1,5,0,2,0,1,12.5,9
0,m01001147-13.txt,"
מיד נתייחס, גם אנו, לתוכן עדותה ולתסקיר
שירות המבחן.",0,0,53,78,23,FALSE,0.2948717949,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,48,0.9056603774,48,0.9056603774,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,41,0.7735849057,41,0.7735849057,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,16,4,8,9,1,1,1,10,1,0,1,0,1,0,0,6,2,3,0,3,0,1,7.5,6.5
0,m01001147-13.txt,"     גם הסניגור המלומד מציע לנו
לאמץ את הסדר הטיעון; אולם מונה טעמים רבים, שעל פיהם ראוי להמנע מהטלתו של מאסר,
מכל סוג, על הנאשם.",0,0,129,78,30,FALSE,0.3846153846,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,105,0.8139534884,105,0.8139534884,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,124,0.9612403101,124,0.9612403101,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,5,1,2,1,0,3,0,2,0,0,2,1,0,0,0,2,1,0,0,0,0,1,3,2
0,m01001147-13.txt,"
הסניגור מציין כי אדם נורמטיבי, עם המלצות
כמו הנאשם לא היה מקבל עונש כזה בבית משפט שלום, ומציג פסקי דין של בית המשפט
העליון והמחוזי, שבהם נגזרו עונשים שרוצו בעבודות שירות, במקרה של טשטוש בגבולות,
אי הבנה ונסיבות כמו אלה שכאן; כשהנאשם מבטיח שלמד את הלקח ולא יטעה פעם נוספת.",0,0,272,78,32,FALSE,0.4102564103,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,138,0.5073529412,138,0.5073529412,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,99,0.3639705882,99,0.3639705882,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,165,0.6066176471,165,0.6066176471,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,158,0.5808823529,158,0.5808823529,1,1,38,0.1397058824,154,0.5661764706,1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,47,0.1727941176,229,0.8419117647,1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,9,2,2,4,0,1,2,3,1,0,1,0,3,1,1,3,0,2,0,1,0,1,7.5,1.5
0,m01001147-13.txt," לא על פי רקעו הסוציו-אקונומי; לא על פי שחרורו מצה""ל לאחר
כמה חודשים עם פרופיל 21; לא על פי העובדה שהחזיק בביתו מריחואנה והודה בשימוש
מזדמן, אך לא מסר בדיקות שתן כדי לבדוק אם אכן הפסיק כל שימוש כזה; וגם לא על פי מה
שמסר לשירות המבחן, כי קיבל טיפול תרופתי פסיכיאטרי, אולם לא נטל את התרופות.",0,0,289,78,44,TRUE,0.5641025641,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,228,0.7889273356,228,0.7889273356,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,50,0.1730103806,50,0.1730103806,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,221,0.7647058824,221,0.7647058824,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,62,0.214532872,62,0.214532872,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,24,4,5,9,0,4,4,7,1,0,3,1,4,1,0,5,4,4,1,4,0,1,16,4.5
0,m01001147-13.txt,"
אך בעיקר - העובדה שהנאשם כבר שילם מחיר
בלתי מבוטל: גם בהגבלת החופש שלו (בתחילה במעצר בן עשרה ימים ואח""כ
ב""מעצר בית"" - מלא וחלקי במשך כשנתיים וחצי); וגם בחשש הממשי שליווה
אותו במשך כל התקופה הזו, שהוא עומד להשפט בפני שלשה שופטים של בית המשפט המחוזי
בעבירות שהעונש עליהן 16 ו-25 שנות מאסר - הינו עונש בפני עצמו.",0,0,310,78,56,TRUE,0.7179487179,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,102,0.3290322581,115,0.3709677419,1,3,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,50,0.1612903226,50,0.1612903226,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,283,0.9129032258,283,0.9129032258,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,21,0.06774193548,21,0.06774193548,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,278,0.8967741935,278,0.8967741935,1,1,-1,-1,-1,-1,-1,0,135,0.435483871,135,0.435483871,1,1,-1,-1,-1,-1,-1,0,22,7,4,5,1,7,2,4,0,1,8,1,7,1.5,2,3,2,3,0,2,0,1,16,3.5
0,m01001147-13.txt,"
ומן הצד השני - אין אופיו של המעשה המגונה
שביצע הנאשם (שהוא במידרג הגבוה ביותר, במסגרת עבירה זו) והשימוש בסם מסוכן,
כשמדובר בקטינה (אף אם על סף הבגירות, כשהפרש הגילים ביניהם איננו גדול) -
מאפשר להסתפק בהרתעה - דהיינו מאסר על תנאי
בלבד, כפי עתירת הסניגור, ללא עונש ממשי, שיורגש ע""י הנאשם, מעבר למפורט
לעיל.",0,0,305,78,57,FALSE,0.7307692308,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,278,0.9114754098,278,0.9114754098,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,209,0.6852459016,209,0.6852459016,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,217,0.7114754098,217,0.7114754098,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,225,0.737704918,225,0.737704918,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,49,0.1606557377,282,0.9245901639,1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,26,4,6,10,2,9,2,8,3,3,4,3,6,1,1,1,4,5,1,5,0,1,17,6
